id,host_id_fk,listings_group
POP5384130219,95620317,Single-listing Hosts
POP7816470755,19070002,Single-listing Hosts
BUT4621138778,51251873,Single-listing Hosts
BUT6968175110,90273662,Single-listing Hosts
TEM3697148051,25726231,Single-listing Hosts
POP0815632345,88268016,Single-listing Hosts
MEN7211015879,87235052,Single-listing Hosts
PAL7572209959,32066275,Single-listing Hosts
TEM0416720820,57819411,Single-listing Hosts
REU7226031796,65143727,Single-listing Hosts
VAU1567100261,15617451,2-3 listing Hosts
POP9425906345,16778027,Single-listing Hosts
BUT2769752683,56603696,Single-listing Hosts
BUT2636440896,15406712,Single-listing Hosts
LUX6119690988,46996340,Single-listing Hosts
HOT3398166319,15785517,Single-listing Hosts
HOT9225922372,546893,Single-listing Hosts
REU2647044223,82905604,Single-listing Hosts
BAT6661699118,41912478,Single-listing Hosts
BAT2813173184,68582471,Single-listing Hosts
OBS9507947260,34031462,Single-listing Hosts
PAS1379720253,55972037,Single-listing Hosts
PAL3396937069,46153458,2-3 listing Hosts
TEM5289854261,57499819,2-3 listing Hosts
REU2377427734,29397504,Single-listing Hosts
TEM9223240142,57499819,2-3 listing Hosts
REU1075373183,1695389,Single-listing Hosts
MEN5723904157,54555813,Single-listing Hosts
MEN9652792346,13315899,Single-listing Hosts
PAS9365172309,70514933,Single-listing Hosts
BOU9301843881,60731923,Single-listing Hosts
MEN0836911137,72074267,2-3 listing Hosts
TEM7654419553,81856975,Single-listing Hosts
MEN7816701146,52775446,Single-listing Hosts
BUT6115960866,50159931,Single-listing Hosts
POP4747603953,88619756,Single-listing Hosts
BUT0279627132,90430350,2-3 listing Hosts
POP8442458779,70573644,Single-listing Hosts
PAN1631226099,93789668,Single-listing Hosts
BOU1573156798,30241812,Single-listing Hosts
HOT1951022582,59367486,Single-listing Hosts
OPE5363387428,55351938,2-3 listing Hosts
ENT0106208525,73904602,Single-listing Hosts
HOT6327129749,57002822,Single-listing Hosts
ENT5197263667,5626737,Single-listing Hosts
POP1524432911,38380760,10+ listing Hosts
BUT1456103207,55120741,Single-listing Hosts
PAN1111005266,56037243,Single-listing Hosts
BAT0513720563,24714540,Single-listing Hosts
BAT2606859690,70066401,Single-listing Hosts
POP1821340374,64804789,Single-listing Hosts
OBS4736769462,94762075,Single-listing Hosts
